Superkingdom,Phylum,Class,Order,Family,Genus,Species_group,Species
Bacteria <bacteria>,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium,Erysipelatoclostridium,Erysipelatoclostridium ramosum
Bacteria <bacteria>,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus,Limosilactobacillus fermentum
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia,Blautia luti/massiliensis
Bacteria <bacteria>,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella,Klebsiella variicola
Bacteria <bacteria>,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter freundii complex,Citrobacter portucalensis
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes,Alistipes onderdonkii
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Mediterraneibacter,Mediterraneibacter,[Ruminococcus] torques
Bacteria <bacteria>,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus,Streptococcus salivarius/vestibularis
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Gemmiger,Gemmiger,Gemmiger
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Gemmiger,Gemmiger,Gemmiger formicilis
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides,Parabacteroides distasonis
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Flavonifractor,Flavonifractor,Flavonifractor plautii
Bacteria <bacteria>,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,Phascolarctobacterium,Phascolarctobacterium faecium
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Roseburia,Roseburia intestinalis
Bacteria <bacteria>,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella,Klebsiella pneumoniae
Bacteria <bacteria>,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella,Klebsiella quasipneumoniae
Bacteria <bacteria>,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus,Streptococcus mitis group
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,Dorea,Dorea longicatena
Bacteria <bacteria>,Actinobacteria <actinobacteria>,Actinobacteria <high GC Gram+>,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium,Bifidobacterium adolescentis
Bacteria <bacteria>,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter cloacae complex,Enterobacter cloacae complex
Bacteria <bacteria>,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia,Akkermansia muciniphila
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia,Blautia faecis
Bacteria <bacteria>,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici group,Pediococcus acidilactici group
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Dysosmobacter,Dysosmobacter,Dysosmobacter welbionis
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,Anaerostipes,Anaerostipes hadrus
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Tyzzerella/Coprococcus,Tyzzerella/Coprococcus,Coprococcus phoceensis/Tyzzerella nexilis
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Faecalimonas,Faecalimonas,Faecalimonas umbilicata
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Fusicatenibacter,Fusicatenibacter,Fusicatenibacter saccharivorans
Bacteria <bacteria>,Actinobacteria <actinobacteria>,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella,Collinsella aerofaciens
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,Lachnoclostridium,[Clostridium] scindens
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,Bacteroides koreensis/ovatus
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Terrisporobacter,Terrisporobacter,Terrisporobacter
Bacteria <bacteria>,Actinobacteria <actinobacteria>,Actinobacteria <high GC Gram+>,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium,Bifidobacterium longum
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,Bacteroides caccae
Bacteria <bacteria>,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus,Enterococcus durans/rivorum
Bacteria <bacteria>,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,Weissella,Weissella cibaria/confusa
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Intestinibacter,Intestinibacter,Intestinibacter bartlettii
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,Bacteroides ovatus/xylanisolvens
Bacteria <bacteria>,Actinobacteria <actinobacteria>,Actinobacteria <high GC Gram+>,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium,Bifidobacterium catenulatum/pseudocatenulatum
Bacteria <bacteria>,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister,Dialister,Dialister
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia,Blautia
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Roseburia,Roseburia faecis
Bacteria <bacteria>,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia,Akkermansia
Bacteria <bacteria>,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus,Acidaminococcus intestini
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia,Blautia obeum
Bacteria <bacteria>,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella,Klebsiella michiganensis
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,Lachnoclostridium,[Clostridium] symbiosum
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,Anaerostipes,Anaerostipes caccae
Bacteria <bacteria>,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter cloacae complex,Enterobacter chengduensis
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerobutyricum,Anaerobutyricum,Anaerobutyricum hallii
Bacteria <bacteria>,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,Lactobacillus salivarius
Bacteria <bacteria>,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,Lactobacillus delbrueckii
Bacteria <bacteria>,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella,Veillonella dispar
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes,Alistipes putredinis
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,Bacteroides cellulosilyticus
Bacteria <bacteria>,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter freundii complex,Citrobacter portucalensis/werkmanii
Bacteria <bacteria>,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella,Veillonella dispar/parvula
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus,Ruminococcus bromii
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides,Parabacteroides goldsteinii
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia,Blautia coccoides/producta
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Roseburia,Roseburia inulinivorans
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Mediterraneibacter,Mediterraneibacter,[Ruminococcus] faecis
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidales,Phocaeicola,Phocaeicola,Phocaeicola massiliensis
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides,Clostridioides difficile
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae,Lachnospiraceae,Lachnospiraceae
Bacteria <bacteria>,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus,Lactococcus lactis
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,Dorea,Dorea
Bacteria <bacteria>,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,Lactobacillus apodemi
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae,Ruminococcaceae,[Clostridium] leptum
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae,Ruminococcaceae,Ruminococcaceae
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Enterocloster,Enterocloster,Enterocloster aldensis
Bacteria <bacteria>,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus,Enterococcus casseliflavus
Bacteria <bacteria>,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella,Klebsiella pneumoniae/quasivariicola
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,Bacteroides faecis
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Hungatella,Hungatella,Hungatella effluvii/hathewayi
Bacteria <bacteria>,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter freundii complex,Citrobacter braakii/europaeus
Bacteria <bacteria>,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Finegoldia,Finegoldia,Finegoldia magna
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,Dorea,Dorea formicigenerans
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae/Clostridiaceae,Lachnospiraceae/Clostridiaceae,Lachnospiraceae/Clostridiaceae,Lachnospiraceae/Clostridiaceae
Bacteria <bacteria>,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter freundii complex,Citrobacter murliniae/youngae
Bacteria <bacteria>,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,Pseudomonas aeruginosa
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerobutyricum,Anaerobutyricum,Anaerobutyricum
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,Coprococcus,Coprococcus comes
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Neglecta,Neglecta,Neglecta
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium,Clostridium paraputrificum
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Eisenbergiella,Eisenbergiella,Eisenbergiella massiliensis
Bacteria <bacteria>,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium,Erysipelatoclostridium,[Clostridium] spiroforme
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Romboutsia,Romboutsia,Romboutsia ilealis/timonensis
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Sellimonas,Sellimonas,Sellimonas intestinalis
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium,Eubacterium
Bacteria <bacteria>,Firmicutes/Fusobacteria <Fusobacteria>,Clostridia/Fusobacteriia,Clostridiales/Fusobacteriales,Lachnospiraceae/Fusobacteriaceae,Lachnospiraceae/Fusobacteriaceae,Lachnospiraceae/Fusobacteriaceae,Lachnospiraceae/Fusobacteriaceae
Bacteria <bacteria>,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas,Megamonas funiformis/rupellensis
Bacteria <bacteria>,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus,Enterococcus casseliflavus/gallinarum
Bacteria <bacteria>,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Catenibacterium,Catenibacterium,Catenibacterium mitsuokai
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,Bacteroides finegoldii
Bacteria <bacteria>,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Holdemanella,Holdemanella,Holdemanella biformis
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidales,Phocaeicola,Phocaeicola,Phocaeicola
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,Bacteroides eggerthii
Bacteria <bacteria>,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella,Klebsiella oxytoca
Bacteria <bacteria>,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalibacillus,Faecalibacillus,Faecalibacillus intestinalis
Bacteria <bacteria>,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,Phascolarctobacterium,Phascolarctobacterium succinatutens
Bacteria <bacteria>,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Raoultella,Raoultella,Raoultella planticola
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Negativibacillus,Negativibacillus,Negativibacillus
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Roseburia,Roseburia hominis
Bacteria <bacteria>,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,Granulicatella,Granulicatella adiacens
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira,Lachnospira,Lachnospira
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Clostridiales,Clostridiales,Clostridiales,Clostridiales
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia,Blautia glucerasea
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,Lachnoclostridium,Lachnoclostridium
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus,Ruminococcus bicirculans
Bacteria <bacteria>,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,Lactobacillus reuteri/vaginalis
Bacteria <bacteria>,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister,Dialister,Dialister invisus
Bacteria <bacteria>,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus,Streptococcus mutans
Bacteria <bacteria>,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera,Megasphaera elsdenii
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium,Clostridium perfringens
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio,Butyrivibrio,Butyrivibrio crossotus
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides,Parabacteroides
Bacteria <bacteria>,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Longicatena,Longicatena,Longicatena caecimuris
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Eisenbergiella,Eisenbergiella,Eisenbergiella tayi
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella,Paraprevotella,Paraprevotella clara
Bacteria <bacteria>,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Parasutterella,Parasutterella,Parasutterella excrementihominis
Bacteria <bacteria>,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella,Veillonella parvula
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Barnesiella,Barnesiella intestinihominis
Bacteria <bacteria>,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus,Pediococcus pentosaceus
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,Bacteroides koreensis
Bacteria <bacteria>,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter freundii complex,Citrobacter braakii
Bacteria <bacteria>,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,Lactobacillus acidophilus/kitasatonis
Bacteria <bacteria>,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,Lactobacillus crispatus/gallinarum
Bacteria <bacteria>,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus/Lactiplantibacillus,Lactobacillus/Lactiplantibacillus,Lactobacillus pentosus/Lactiplantibacillus plantarum
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium,Clostridium celatum/saudiense
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium,Clostridium cadaveris
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium,Eubacterium ramulus
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira,Lachnospira,Lachnospira eligens
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Clostridiales,Flintibacter,Flintibacter,Flintibacter
Bacteria <bacteria>,Actinobacteria <actinobacteria>,Actinobacteria <high GC Gram+>,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium,Bifidobacterium breve
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidales,Phocaeicola,Phocaeicola,Phocaeicola plebeius
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Anaerotruncus,Anaerotruncus,Anaerotruncus colihominis
Bacteria <bacteria>,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Mitsuokella,Mitsuokella,Mitsuokella jalaludinii
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Enterocloster,Enterocloster,Enterocloster asparagiformis/lavalensis
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella,Prevotella copri
Bacteria <bacteria>,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,Sutterella,Sutterella
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Agathobaculum,Agathobaculum,Agathobaculum butyriciproducens
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae,Ruminococcaceae,[Eubacterium] siraeum
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides,Bacteroides intestinalis
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium,Clostridium tertium
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellamassilia,Prevotellamassilia,Prevotellamassilia
Bacteria <bacteria>,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus,Staphylococcus haemolyticus
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Beduini,Beduini,Beduini massiliensis
Bacteria <bacteria>,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium,Erysipelatoclostridium,Erysipelatoclostridium
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Clostridiales,Monoglobus,Monoglobus,Monoglobus pectinilyticus
Bacteria <bacteria>,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella,Klebsiella aerogenes
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerotignum,Anaerotignum,Anaerotignum lactatifermentans
Bacteria <bacteria>,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Raoultella,Raoultella,Raoultella ornithinolytica
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Clostridiales,Evtepia,Evtepia,Evtepia
Bacteria <bacteria>,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Bilophila,Bilophila,Bilophila wadsworthia
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerobutyricum,Anaerobutyricum,Anaerobutyricum soehngenii
Bacteria <bacteria>,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidales,Phocaeicola,Phocaeicola,Phocaeicola coprocola
Bacteria <bacteria>,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter freundii complex,Citrobacter braakii/murliniae
Bacteria <bacteria>,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,Anaerostipes,Anaerostipes
Bacteria <bacteria>,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Longibaculum,Longibaculum,Longibaculum muris
Bacteria <bacteria>,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus,Streptococcus equinus/infantarius
